idImagen,clase,rutaNpy,rutaRaw,alto,ancho,tipoDato,cantidadElementos,tiempoSegundos,estado,error
40,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_40.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_40_raw.bin",128,128,float32,16384,1.0711775729978399,ok,
41,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_41.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_41_raw.bin",128,128,float32,16384,0.11976463700193563,ok,
42,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_42.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_42_raw.bin",128,128,float32,16384,0.119507560000784,ok,
43,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_43.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_43_raw.bin",128,128,float32,16384,0.11906352000005427,ok,
44,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_44.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_44_raw.bin",128,128,float32,16384,0.119485095001437,ok,
45,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_45.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_45_raw.bin",128,128,float32,16384,0.11926177100031055,ok,
46,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_46.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_46_raw.bin",128,128,float32,16384,0.11925022399736918,ok,
47,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_47.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_47_raw.bin",128,128,float32,16384,0.11931233699942823,ok,
48,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_48.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_48_raw.bin",128,128,float32,16384,0.11909377799747745,ok,
49,Bercak Daun,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_49.npy","/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/rawCuda/Bercak Daun/imagen_49_raw.bin",128,128,float32,16384,0.1193023589985387,ok,
