idImagen,clase,rutaRaw,rutaCudaBin,alto,ancho,tiempoKernelMs,tiempoTotalGpuSegundos,hilosX,hilosY,filtro,estado,error
103,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_103_raw.bin,salidas/cudaBin/Bercak Daun/imagen_103_cuda.bin,512,512,0.040736,0.00221553,16,16,enfoque,ok,
104,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_104_raw.bin,salidas/cudaBin/Bercak Daun/imagen_104_cuda.bin,512,512,0.04,0.00224664,16,16,enfoque,ok,
105,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_105_raw.bin,salidas/cudaBin/Bercak Daun/imagen_105_cuda.bin,512,512,0.034144,0.00242318,16,16,enfoque,ok,
106,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_106_raw.bin,salidas/cudaBin/Bercak Daun/imagen_106_cuda.bin,512,512,0.042016,0.00242058,16,16,enfoque,ok,
107,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_107_raw.bin,salidas/cudaBin/Bercak Daun/imagen_107_cuda.bin,512,512,0.040832,0.00230852,16,16,enfoque,ok,
108,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_108_raw.bin,salidas/cudaBin/Bercak Daun/imagen_108_cuda.bin,512,512,0.042656,0.00241679,16,16,enfoque,ok,
109,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_109_raw.bin,salidas/cudaBin/Bercak Daun/imagen_109_cuda.bin,512,512,0.040256,0.00230995,16,16,enfoque,ok,
110,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_110_raw.bin,salidas/cudaBin/Bercak Daun/imagen_110_cuda.bin,512,512,0.036,0.00255638,16,16,enfoque,ok,
111,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_111_raw.bin,salidas/cudaBin/Bercak Daun/imagen_111_cuda.bin,512,512,0.034848,0.00248077,16,16,enfoque,ok,
112,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_112_raw.bin,salidas/cudaBin/Bercak Daun/imagen_112_cuda.bin,512,512,0.04176,0.00240749,16,16,enfoque,ok,
113,Bercak Daun,salidas/rawCuda/Bercak Daun/imagen_113_raw.bin,salidas/cudaBin/Bercak Daun/imagen_113_cuda.bin,512,512,0.034176,0.00232424,16,16,enfoque,ok,
